维沃移动通信有限公司及其全球的企业附属公司（以下简称“vivo”或“我们”），十分尊重您的个人信息，并会尽全力保护您的个人信息,PC2,CR3
本政策仅适用于vivo收集和存储的个人信息（包括智能终端产品服务以及链接至本隐私政策的vivo产品服务），其他方援引内容以您与第三方约定为准,PC1,CR2
请在向vivo提交个人信息前，阅读、了解和同意《vivo隐私政策》,PC4,CR6
四、     vivo如何委托处理、共享、转让、公开披露您的个人信息,PC6,
五、     未成年人个人数据的处理,PC3,
十三、         如何联系我们,PC2,
为了完成产品及服务功能、调查分析问题以不断提高产品及服务质量；同时高效识别场景，为您提供场景化、个性化服务以帮助您高效便捷地管理生活与工作，为您带来更好的用户体验，我们可能会依据提供服务的必要性不时地从您的设备收集一些信息和基本使用数据,PC5,CR11#CR12
同时，我们还可能会根据国家法律法规或政府主管部门的要求，收集您的信息和数据,PC5,CR11
2、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：我们可能为履行与您之间的合同所必需处理您的个人信息,PC5,CR11
如基于网络购物或有奖促销等合同关系，实现您的相关请求需要处理您的个人信息；,PC5,CR11
3、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：为履行法定职责或者法定义务；,PC5,CR11
4、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：为应对突发公共卫生事件，或者紧急情况下为保护自然人的生命健康和财产安全所必需；,PC5,CR11
5、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：为公共利益实施新闻报道、舆论监督等行为，在合理的范围内处理个人信息；,PC5,CR11
6、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：在合理的范围内处理您自行公开或者其他已经合法公开的个人信息；,PC5,CR11
7、当我们处理您的个人信息时，我们可能会基于以下合法性基础中的一种或多种，具体包括：法律、行政法规规定的其他情形,PC5,CR11
