expressions	examples	type
((一|二|三|四|五|六|七|八|九|十|十一|十二|十三|十四|十五|十六|十七|十八|十九|二十)、)	一、	1
((一|二|三|四|五|六|七|八|九|十|十一|十二|十三|十四|十五|十六|十七|十八|十九|二十)\.)	一.	2
(（(一|二|三|四|五|六|七|八|九|十|十一|十二|十三|十四|十五|十六|十七|十八|十九|二十)）)	（一）	3
(\((一|二|三|四|五|六|七|八|九|十|十一|十二|十三|十四|十五|十六|十七|十八|十九|二十)\))	(一)	4
(①|②|③|④|⑤|⑥|⑦|⑧|⑨|⑩|⑪|⑫|⑬|⑭|⑮|⑯|⑰|⑱|⑲|⑳)	①	5
([a-z]\.)	a.	6
([A-Z]\.)	A.	7
([a-z]\))	a)	8
([A-Z]\))	A)	9
([a-z]）)	a）	10
([A-Z]）)	A）	11
(\([a-z]\))	(a)	12
(\([A-Z]\))	(A)	13
(（[a-z]）)	（a）	14
(（[A-Z]）)	（A）	15
([1-9][0-9]?\))	1)	16
([1-9][0-9]?）)	1）	17
(\([1-9][0-9]?\))	(1)	18
(（[1-9][0-9]?）)	（1）	19
([1-9][0-9]?、)	1、	20
([1-9][0-9]?\.)[^\d]	1.	21
(第(一|二|三|四|五|六|七|八|九|十|十一|十二|十三|十四|十五|十六|十七|十八|十九|二十)部分)	第一部分	22
(\d{1,2}\.\d{1,2}\.\d{1,2}\.\d{1,2})[^.\d]	1.1.1.1	23
(\d{1,2}\.\d{1,2}\.\d{1,2})[^.\d]	1.1.1	24
(\d{1,2}\.\d{1,2})[^.\d]	1.1	25
